id,name,subject ,grade ,city ,price ,tel 
31,Yitzhak Veled,English,10th,Beer sheva,70,052-5381678
32,Shlomo Lahiani,Biology,10th,Beer sheva,70,052-5381679
33,Rubik Danilovich,Chemistry,10th,Beer sheva,120,052-5381680
34,Jacky Levi,Literature,10th,Beer sheva,130,052-5381681
35,Moshe Abutbul,History,11th,Beer sheva,90,052-5381682
36,Meir Rubenstein,Math,12th,Beer sheva,100,052-5381683
37,Shimon Lancry,Physics,9th,Beer sheva,60,052-5381684
38,Avi Elkabetz,English,10th,Beer sheva,80,052-5381685
39,Tali Ploskov,Biology,11th,Beer sheva,90,052-5381686
40,Eliyahu Shaviro,Chemistry,11th,Beer sheva,100,052-5381687
41,Yehiel Lasri,Literature,11th,Beer sheva,70,052-5381688
42,Benny Vaknin,History,11th,Eilat,70,052-5381689
43,Yitzhak Veled,History,11th,Beer sheva,120,052-5381690
44,Shlomo Lahiani,History,11th,Tel aviv,130,052-5381691
45,Rubik Danilovich,History,11th,Petach tikva,90,052-5381692
46,Jacky Levi,History,11th,Jerusalem,100,052-5381693
47,Moshe Abutbul,History,11th,Haifa,70,052-5381694
48,Meir Rubenstein,History,12th,Eilat,70,052-5381695
49,Shimon Lancry,History,9th,Beer sheva,120,052-5381696
50,Avi Elkabetz,Math,10th,Tel aviv,130,052-5381697
51,Tali Ploskov,Physics,11th,Petach tikva,90,052-5381698
52,Eliyahu Shaviro,English,12th,Petach tikva,100,052-5381699
53,Yehiel Lasri,Biology,9th,Petach tikva,100,052-5381700
54,Benny Vaknin,Chemistry,10th,Petach tikva,70,052-5381701
55,Yitzhak Veled,Literature,11th,Petach tikva,70,052-5381702
56,Shlomo Lahiani,History,12th,Tel aviv,120,052-5381703
57,Rubik Danilovich,Math,9th,Petach tikva,130,052-5381704
58,Jacky Levi,Physics,10th,Jerusalem,90,052-5381705
59,Moshe Abutbul,English,11th,Haifa,100,052-5381706
60,Meir Rubenstein,Biology,12th,Eilat,60,052-5381707
61,Shimon Lancry,Chemistry,12th,Beer sheva,80,052-5381708
62,Avi Elkabetz,Literature,12th,Tel aviv,90,052-5381709
63,Tali Ploskov,History,12th,Petach tikva,100,052-5381710
64,Eliyahu Shaviro,Math,12th,Jerusalem,70,052-5381711
65,Yehiel Lasri,Physics,12th,Haifa,70,052-5381712
66,Benny Vaknin,English,12th,Eilat,120,052-5381713
67,Yitzhak Veled,Biology,12th,Beer sheva,130,052-5381714
68,Shlomo Lahiani,Chemistry,12th,Tel aviv,90,052-5381715
69,Rubik Danilovich,Literature,9th,Petach tikva,100,052-5381716
70,Jacky Levi,History,10th,Jerusalem,100,052-5381717
71,Moshe Abutbul,Math,11th,Haifa,70,054-5381718
72,Meir Rubenstein,Physics,12th,Eilat,70,054-5381719
73,Shimon Lancry,English,9th,Beer sheva,120,054-5381720
74,Avi Elkabetz,Biology,10th,Tel aviv,130,054-5381721
75,Tali Ploskov,Biology,11th,Petach tikva,90,054-5381722
76,Eliyahu Shaviro,Literature,12th,Jerusalem,100,054-5381723
77,Yehiel Lasri,Biology,9th,Haifa,60,054-5381724
78,Benny Vaknin,Biology,10th,Eilat,80,054-5381725
79,Simon Alfasi,Physics,11th,Beer sheva,90,054-5381726
80,Noa Cohen,English,12th,Tel aviv,100,054-5381727
81,Tamar Levi,Biology,9th,Petach tikva,70,054-5381728
82,Shira Mizrachi,Chemistry,10th,Jerusalem,70,054-5381729
83,Maya Peretz,Literature,11th,Haifa,120,054-5381730
84,Yael Biton,History,12th,Eilat,130,054-5381731
85,Adele Peretz,Math,9th,Beer sheva,90,054-5381732
86,Talia Biton,Physics,10th,Tel aviv,100,054-5381733
87,Abigail Dohan,English,11th,Petach tikva,100,054-5381734
88,Ayala Avraham,Biology,12th,Jerusalem,70,054-5381735
89,Sarah Friedman,Chemistry,9th,Haifa,70,054-5381736
90,Esther Friedman,Literature,10th,Eilat,120,054-5381737
91,Noya Azoulai,History,11th,Beer sheva,130,052-5381738
92,Michal Malka,Math,12th,Tel aviv,90,052-5381739
93,Lia Katz,Physics,9th,Petach tikva,100,052-5381740
94,Romi David,English,10th,Jerusalem,60,050-5381741
95,Roni Ohayon,Biology,11th,Haifa,80,050-5381742
96,Rachel Hadad,Chemistry,12th,Eilat,90,050-5381743
97,Hodaya Amar,Literature,9th,Beer sheva,100,050-5381744
98,Alma Gabbai,History,10th,Tel aviv,70,050-5381745
99,"Agam Yosef,",Math,11th,Petach tikva,70,050-5381746
100,Yuval Joseph,Physics,12th,Jerusalem,120,050-5381747
101,Tahal Ben David,English,9th,Haifa,130,050-5381748
102,Miriam Edri,Biology,10th,Eilat,90,050-5381749
103,Chaya Klein,Chemistry,11th,Beer sheva,100,050-5381750
104,Adi Chen,Literature,12th,Tel aviv,100,050-5381751
105,Ariel Tal,History,9th,Petach tikva,70,050-5381752
106,Hila Nachum,Math,10th,Jerusalem,70,050-5381753
107,Naomi Alon,Physics,11th,Haifa,120,050-5381754
108,Ruth Rosenberg,English,12th,Eilat,130,050-5381755
109,Noga Sharabi,Biology,9th,Beer sheva,90,050-5381756
110,Emma Sasson,Chemistry,10th,Tel aviv,100,050-5381757
111,Maayan Bachar,Literature,11th,Petach tikva,60,050-5381758
112,Hallel Shahar,History,12th,Jerusalem,80,050-5381759
113,Hadar Maimon,Math,9th,Haifa,90,050-5381760
114,Gaia Schwartz,Physics,10th,Eilat,100,050-5381761
115,Efrat Ovadia,English,11th,Beer sheva,70,050-5381762
116,Leah Ben Hemo,Biology,12th,Tel aviv,70,050-5381763
117,Tehila Vaknin,Chemistry,9th,Petach tikva,120,050-5381764
118,Noam Assouline,Literature,10th,Jerusalem,130,050-5381765
119,Or Jacob,History,11th,Haifa,90,050-5381766
120,Neta Shalom,Math,12th,Eilat,100,050-5381767
121,Mika Mor,Physics,9th,Beer sheva,100,050-5381768
122,Hadassa Dayan,English,10th,Tel aviv,70,050-5381769
123,Naomi Cohen,Biology,11th,Petach tikva,70,050-5381770
124,Ruth Levi,Chemistry,12th,Jerusalem,120,050-5381771
125,Noga Mizrachi,Literature,9th,Haifa,130,050-5381772
126,Emma Peretz,History,10th,Eilat,90,050-5381773
127,Maayan Biton,Math,11th,Beer sheva,100,050-5381774
128,Hallel Peretz,Physics,12th,Tel aviv,60,050-5381775
129,Hadar Biton,English,9th,Petach tikva,80,050-5381776
130,Gaia Dohan,Biology,10th,Jerusalem,90,050-5381777
131,Efrat Avraham,Chemistry,11th,Haifa,100,050-5381778
132,Leah Friedman,Literature,12th,Eilat,70,050-5381779
133,Tehila Cohen,History,9th,Beer sheva,70,050-5381780
134,Noam Levi,Math,10th,Tel aviv,120,050-5381781
135,Or Mizrachi,Physics,11th,Petach tikva,130,050-5381782
136,Neta Peretz,English,12th,Jerusalem,90,050-5381783
137,Mika Biton,Biology,9th,Haifa,100,050-5381784
138,Hadassa Peretz,Chemistry,10th,Eilat,100,050-5381785
139,Maya Ben Hemo,Literature,11th,Beer sheva,70,050-5381786
140,Yael Vaknin,History,12th,Tel aviv,70,050-5381787
141,Adele Assouline,Math,9th,Petach tikva,120,050-5381788
142,Talia Jacob,Physics,10th,Jerusalem,130,050-5381789
143,Abigail Shalom,English,11th,Haifa,90,050-5381790
144,Ayala Mor,Biology,12th,Eilat,100,050-5381791
145,Sarah Dayan,Chemistry,9th,Beer sheva,60,050-5381792
146,Esther Cohen,Literature,10th,Tel aviv,80,050-5381793
147,Noya Levi,History,11th,Petach tikva,90,050-5381794
148,Michal Mizrachi,Math,12th,Jerusalem,100,050-5381795
149,Lia Peretz,Physics,9th,Haifa,70,050-5381796
150,Romi Biton,Math,9th,Eilat,70,050-5381797
151,Roni Peretz,Physics,10th,Beer sheva,120,050-5381798
152,Rachel Dayan,English,11th,Tel aviv,130,050-5381799
153,Hodaya Cohen,Biology,12th,Petach tikva,90,050-5381800
154,Alma Levi,Chemistry,12th,Jerusalem,100,050-5381801
155,Shiran Cohen,Literature,9th,Haifa,100,050-5381802
156,Anita Levi,History,9th,Eilat,70,050-5381803
157,Dean Mizrachi,Math,10th,Beer sheva,70,050-5381804
158,Yuval Peretz,Physics,11th,Tel aviv,120,050-5381805
159,Guy Biton,Math,12th,Petach tikva,130,050-5381806
160,Dror Peretz,Physics,9th,Jerusalem,90,050-5381807
161,Shahar Biton,English,10th,Haifa,100,050-5381808
162,Noam Dohan,Biology,11th,Eilat,60,050-5381809
163,Shely Avraham,Chemistry,9th,Beer sheva,80,050-5381810
164,Ron Friedman,Literature,10th,Tel aviv,90,050-5381811
165,Yael Friedman,History,11th,Petach tikva,100,050-5381812
166,Daniel Azoulai,Math,12th,Jerusalem,70,050-5381813
167,Bar Malka,Physics,9th,Haifa,70,050-5381814
168,Omer Katz,Math,10th,Eilat,120,050-5381815
169,Itay David,Physics,11th,Beer sheva,130,050-5381816
170,Yarden Ohayon,English,12th,Tel aviv,90,050-5381817
171,Guy Hadad,Biology,9th,Petach tikva,100,050-5381818
172,Liam Rosenberg,Chemistry,10th,Jerusalem,100,050-5381819
173,Nadav Sharabi,Literature,11th,Haifa,70,050-5381820
174,Ron Sasson,History,12th,Eilat,70,050-5381821
175,Oz Bachar,Math,9th,Beer sheva,120,050-5381822
176,Eitan Shahar,Physics,9th,Tel aviv,130,050-5381823
177,Ariel Maimon,Math,10th,Petach tikva,90,050-5381824
178,Eran Schwartz,Physics,11th,Jerusalem,100,050-5381825
179,Ron Katz,English,12th,Haifa,60,050-5381826
180,Yuval David,Biology,9th,Eilat,80,050-5381827
181,Dror Ohayon,Chemistry,10th,Beer sheva,90,050-5381828
182,Gilad Hadad,Literature,11th,Tel aviv,100,050-5381829
183,Liam Sasson,History,12th,Tel aviv,70,050-5381830
184,Nadav Bachar,Math,9th,Tel aviv,70,050-5381831
185,Ron Shahar,Physics,10th,Tel aviv,120,052-5381832
186,Oz Sasson,Math,11th,Tel aviv,130,052-5381833
187,Eitan Bachar,Physics,12th,Tel aviv,90,052-5381834
188,Ariel Shahar,English,9th,Tel aviv,100,052-5381835
189,Eran Sasson,Biology,9th,Tel aviv,100,052-5381836
190,Ron Bachar,Chemistry,10th,Tel aviv,70,052-5381837
191,Yuval Shahar,Literature,11th,Tel aviv,70,052-5381838
192,Dror Sasson,History,12th,Tel aviv,120,052-5381839
193,Gilad Bachar,Math,9th,Beer sheva,130,052-5381840
194,Daniel Shahar,Math,10th,Tel aviv,90,052-5381841
195,Agam Sasson,Physics,11th,Petach tikva,100,052-5381842
196,Yuval Bachar,Physics,12th,Jerusalem,60,052-5381843
197,Tahal Shahar,Math,9th,Beer sheva,80,052-5381844
198,Tahal Shahar,Math,10th,Beer sheva,90,052-5381844
199,Tahal Shahar,Math,11th,Beer sheva,100,052-5381844
200,Nadav Bachar,Math,10th,Tel aviv,70,050-5381831
